payment_id,expected_result,exception_type
PAY0001,MATCH,NONE
PAY0002,MATCH,NONE
PAY0003,MATCH,NONE
PAY0004,EXCEPTION,DUPLICATE_TRANSACTION
PAY0005,MATCH,NONE
PAY0006,MATCH,NONE
PAY0007,EXCEPTION,AMOUNT_MISMATCH
PAY0008,MATCH,NONE
PAY0009,EXCEPTION,DATE_ANOMALY
PAY0010,MATCH,NONE
PAY0011,MATCH,NONE
PAY0012,EXCEPTION,DUPLICATE_TRANSACTION
PAY0013,MATCH,NONE
PAY0014,MATCH,NONE
PAY0015,MATCH,NONE
PAY0016,MATCH,NONE
PAY0017,MATCH,NONE
PAY0018,MATCH,NONE
PAY0019,MATCH,NONE
PAY0020,MATCH,NONE
PAY0021,MATCH,NONE
PAY0022,MATCH,NONE
PAY0023,MATCH,NONE
PAY0024,MATCH,NONE
PAY0025,MATCH,NONE
PAY0026,MATCH,NONE
PAY0027,MATCH,NONE
PAY0028,MATCH,NONE
PAY0029,MATCH,NONE
PAY0030,MATCH,NONE
PAY0031,EXCEPTION,DUPLICATE_TRANSACTION
PAY0032,MATCH,NONE
PAY0033,MATCH,NONE
PAY0034,MATCH,NONE
PAY0035,MATCH,NONE
PAY0036,MATCH,NONE
PAY0037,MATCH,NONE
PAY0038,MATCH,NONE
PAY0039,MATCH,NONE
PAY0040,EXCEPTION,DATE_ANOMALY
PAY0041,MATCH,NONE
PAY0042,MATCH,NONE
PAY0043,MATCH,NONE
PAY0044,MATCH,NONE
PAY0045,EXCEPTION,STATUS_MISMATCH
PAY0046,MATCH,NONE
PAY0047,MATCH,NONE
PAY0048,MATCH,NONE
PAY0049,EXCEPTION,MISSING_SETTLEMENT
PAY0050,MATCH,NONE
PAY0051,MATCH,NONE
PAY0052,MATCH,NONE
PAY0053,EXCEPTION,AMOUNT_MISMATCH
PAY0054,MATCH,NONE
PAY0055,EXCEPTION,STATUS_MISMATCH
PAY0056,MATCH,NONE
PAY0057,MATCH,NONE
PAY0058,MATCH,NONE
PAY0059,MATCH,NONE
PAY0060,MATCH,NONE
PAY0061,MATCH,NONE
PAY0062,EXCEPTION,MISSING_SETTLEMENT
PAY0063,EXCEPTION,MISSING_SETTLEMENT
PAY0064,MATCH,NONE
PAY0065,MATCH,NONE
PAY0066,EXCEPTION,STATUS_MISMATCH
PAY0067,MATCH,NONE
PAY0068,MATCH,NONE
PAY0069,MATCH,NONE
PAY0070,MATCH,NONE
PAY0071,EXCEPTION,AMOUNT_MISMATCH
PAY0072,MATCH,NONE
PAY0073,MATCH,NONE
PAY0074,MATCH,NONE
PAY0075,MATCH,NONE
PAY0076,MATCH,NONE
PAY0077,MATCH,NONE
PAY0078,MATCH,NONE
PAY0079,MATCH,NONE
PAY0080,MATCH,NONE
PAY0081,MATCH,NONE
PAY0082,MATCH,NONE
PAY0083,MATCH,NONE
PAY0084,MATCH,NONE
PAY0085,MATCH,NONE
PAY0086,EXCEPTION,MISSING_SETTLEMENT
PAY0087,MATCH,NONE
PAY0088,MATCH,NONE
PAY0089,EXCEPTION,DUPLICATE_TRANSACTION
PAY0090,MATCH,NONE
PAY0091,MATCH,NONE
PAY0092,EXCEPTION,DATE_ANOMALY
PAY0093,EXCEPTION,STATUS_MISMATCH
PAY0094,MATCH,NONE
PAY0095,MATCH,NONE
PAY0096,MATCH,NONE
PAY0097,MATCH,NONE
PAY0098,EXCEPTION,AMOUNT_MISMATCH
PAY0099,EXCEPTION,DATE_ANOMALY
PAY0100,MATCH,NONE
