order_id,customer_id,order_date,amount,currency,status
ORD0001,CUST4456,2026-01-27T05:31:00Z,13740.47,INR,PAID
ORD0002,CUST9179,2026-01-22T07:12:00Z,6236.66,INR,PAID
ORD0003,CUST5040,2026-01-25T22:43:00Z,11302.34,INR,PAID
ORD0004,CUST7543,2026-01-07T17:06:00Z,5748.95,INR,PAID
ORD0005,CUST1771,2026-01-08T08:57:00Z,12985.99,INR,PAID
ORD0006,CUST7916,2026-01-18T22:17:00Z,9147.93,INR,PAID
ORD0007,CUST9669,2026-01-26T14:17:00Z,4145.5,INR,PAID
ORD0008,CUST2876,2026-01-25T20:31:00Z,10384.8,INR,PAID
ORD0009,CUST6573,2026-01-21T04:53:00Z,2117.51,INR,PAID
ORD0010,CUST5315,2026-01-09T13:09:00Z,14592.38,INR,PAID
ORD0011,CUST5889,2026-01-24T12:31:00Z,12704.21,INR,PAID
ORD0012,CUST7126,2026-01-25T23:09:00Z,11556.41,INR,PAID
ORD0013,CUST6310,2026-01-06T12:12:00Z,7584.78,INR,PAID
ORD0014,CUST4923,2026-01-27T05:43:00Z,1339.91,INR,PAID
ORD0015,CUST8962,2026-01-25T15:52:00Z,12332.34,INR,PAID
ORD0016,CUST8787,2026-01-08T22:22:00Z,14229.31,INR,PAID
ORD0017,CUST7932,2026-01-25T23:04:00Z,14483.26,INR,PAID
ORD0018,CUST6107,2026-01-18T09:53:00Z,6285.39,INR,PAID
ORD0019,CUST2982,2026-01-04T07:57:00Z,4094.63,INR,PAID
ORD0020,CUST4770,2026-01-01T17:52:00Z,9032.38,INR,PAID
ORD0021,CUST4750,2026-01-02T20:19:00Z,1477.3,INR,PAID
ORD0022,CUST9423,2026-01-23T12:13:00Z,3951.07,INR,PAID
ORD0023,CUST8744,2026-01-22T22:37:00Z,4023.46,INR,PAID
ORD0024,CUST2545,2026-01-21T00:50:00Z,1905.5,INR,PAID
ORD0025,CUST8651,2026-01-03T21:11:00Z,13025.63,INR,PAID
ORD0026,CUST2612,2026-01-16T20:37:00Z,1378.88,INR,PAID
ORD0027,CUST4139,2026-01-21T20:01:00Z,3258.03,INR,PAID
ORD0028,CUST5563,2026-01-04T20:21:00Z,7208.11,INR,PAID
ORD0029,CUST1828,2026-01-26T00:28:00Z,9956.1,INR,PAID
