payment_id,order_id,payment_date,amount,payment_method,status
PAY0001,ORD0001,2026-01-27T05:46:00Z,13740.47,UPI,CAPTURED
PAY0002,ORD0002,2026-01-22T07:15:00Z,6236.66,UPI,CAPTURED
PAY0003,ORD0003,2026-01-25T22:48:00Z,11302.34,CARD,CAPTURED
PAY0004,ORD0004,2026-01-07T17:15:00Z,5748.95,UPI,CAPTURED
PAY0005,ORD0005,2026-01-08T09:08:00Z,12985.99,NETBANKING,CAPTURED
PAY0006,ORD0006,2026-01-18T22:24:00Z,9147.93,CARD,CAPTURED
PAY0007,ORD0007,2026-01-26T14:31:00Z,4145.5,NETBANKING,CAPTURED
PAY0008,ORD0008,2026-01-25T20:44:00Z,10384.8,NETBANKING,CAPTURED
PAY0009,ORD0009,2026-01-21T04:56:00Z,2117.51,UPI,CAPTURED
PAY0010,ORD0010,2026-01-09T13:18:00Z,14592.38,NETBANKING,CAPTURED
PAY0011,ORD0011,2026-01-24T12:41:00Z,12704.21,UPI,CAPTURED
PAY0012,ORD0012,2026-01-25T23:22:00Z,11556.41,UPI,CAPTURED
PAY0013,ORD0013,2026-01-06T12:27:00Z,7584.78,CARD,CAPTURED
PAY0014,ORD0014,2026-01-27T05:45:00Z,1339.91,NETBANKING,CAPTURED
PAY0015,ORD0015,2026-01-25T16:05:00Z,12332.34,UPI,CAPTURED
PAY0016,ORD0016,2026-01-08T22:27:00Z,14229.31,NETBANKING,CAPTURED
PAY0017,ORD0017,2026-01-25T23:17:00Z,14483.26,NETBANKING,CAPTURED
PAY0018,ORD0018,2026-01-18T10:01:00Z,6285.39,CARD,CAPTURED
PAY0019,ORD0019,2026-01-04T08:03:00Z,4094.63,NETBANKING,CAPTURED
PAY0020,ORD0020,2026-01-01T17:54:00Z,9032.38,UPI,CAPTURED
PAY0021,ORD0021,2026-01-02T20:33:00Z,1477.3,UPI,CAPTURED
PAY0022,ORD0022,2026-01-23T12:17:00Z,3951.07,UPI,CAPTURED
PAY0023,ORD0023,2026-01-22T22:50:00Z,4023.46,UPI,CAPTURED
PAY0024,ORD0024,2026-01-21T00:56:00Z,1905.5,CARD,CAPTURED
PAY0025,ORD0025,2026-01-03T21:22:00Z,13025.63,NETBANKING,CAPTURED
PAY0026,ORD0026,2026-01-16T20:50:00Z,1378.88,UPI,CAPTURED
PAY0027,ORD0027,2026-01-21T20:04:00Z,3258.03,UPI,CAPTURED
PAY0028,ORD0028,2026-01-04T20:29:00Z,7208.11,UPI,CAPTURED
PAY0029,ORD0029,2026-01-26T00:42:00Z,9956.1,UPI,CAPTURED
PAY0030,ORD0030,2026-01-23T12:35:00Z,2911.51,CARD,CAPTURED
PAY0031,ORD0031,2026-01-01T12:29:00Z,2887.24,CARD,CAPTURED
PAY0032,ORD0032,2026-01-26T17:14:00Z,6633.61,UPI,CAPTURED
PAY0033,ORD0033,2026-01-04T02:03:00Z,4802.26,UPI,CAPTURED
PAY0034,ORD0034,2026-01-28T00:13:00Z,1328.9,NETBANKING,CAPTURED
PAY0035,ORD0035,2026-01-24T12:44:00Z,1324.75,UPI,CAPTURED
PAY0036,ORD0036,2026-01-12T03:02:00Z,10290.58,NETBANKING,CAPTURED
PAY0037,ORD0037,2026-01-03T05:35:00Z,8894.33,CARD,CAPTURED
PAY0038,ORD0038,2026-01-13T06:54:00Z,5087.36,NETBANKING,CAPTURED
PAY0039,ORD0039,2026-01-19T10:22:00Z,3960.95,NETBANKING,CAPTURED
PAY0040,ORD0040,2026-01-04T17:16:00Z,7129.76,NETBANKING,CAPTURED
PAY0041,ORD0041,2026-01-11T02:59:00Z,1562.28,UPI,CAPTURED
PAY0042,ORD0042,2026-01-12T12:56:00Z,13272.53,UPI,CAPTURED
PAY0043,ORD0043,2026-01-15T04:36:00Z,12589.3,NETBANKING,CAPTURED
PAY0044,ORD0044,2026-01-26T15:52:00Z,10184.02,UPI,CAPTURED
PAY0045,ORD0045,2026-01-06T07:07:00Z,4334.76,UPI,FAILED
PAY0046,ORD0046,2026-01-11T00:16:00Z,4585.47,UPI,CAPTURED
PAY0047,ORD0047,2026-01-12T20:33:00Z,7828.43,UPI,CAPTURED
PAY0048,ORD0048,2026-01-03T10:11:00Z,12525.55,UPI,CAPTURED
PAY0049,ORD0049,2026-01-21T12:46:00Z,2842.94,NETBANKING,CAPTURED
PAY0050,ORD0050,2026-01-08T04:58:00Z,2122.17,CARD,CAPTURED
PAY0051,ORD0051,2026-01-03T07:47:00Z,6731.91,UPI,CAPTURED
PAY0052,ORD0052,2026-01-12T18:45:00Z,3546.11,CARD,CAPTURED
PAY0053,ORD0053,2026-01-08T11:04:00Z,14620.64,UPI,CAPTURED
PAY0054,ORD0054,2026-01-02T13:08:00Z,13280.53,CARD,CAPTURED
PAY0055,ORD0055,2026-01-06T08:12:00Z,4368.68,CARD,FAILED
PAY0056,ORD0056,2026-01-22T08:53:00Z,3393.81,UPI,CAPTURED
PAY0057,ORD0057,2026-01-10T05:04:00Z,843.13,CARD,CAPTURED
PAY0058,ORD0058,2026-01-14T02:59:00Z,14519.89,NETBANKING,CAPTURED
PAY0059,ORD0059,2026-01-25T19:48:00Z,10353.01,UPI,CAPTURED
PAY0060,ORD0060,2026-01-13T11:59:00Z,3089.23,NETBANKING,CAPTURED
PAY0061,ORD0061,2026-01-15T16:45:00Z,5512.46,NETBANKING,CAPTURED
PAY0062,ORD0062,2026-01-27T15:52:00Z,6085.33,UPI,CAPTURED
PAY0063,ORD0063,2026-01-25T22:19:00Z,524.52,UPI,CAPTURED
PAY0064,ORD0064,2026-01-16T10:50:00Z,6753.81,NETBANKING,CAPTURED
PAY0065,ORD0065,2026-01-15T02:11:00Z,10936.44,NETBANKING,CAPTURED
PAY0066,ORD0066,2026-01-14T21:06:00Z,5229.65,UPI,FAILED
PAY0067,ORD0067,2026-01-18T16:19:00Z,10141.48,NETBANKING,CAPTURED
PAY0068,ORD0068,2026-01-01T10:32:00Z,6388.09,UPI,CAPTURED
PAY0069,ORD0069,2026-01-29T00:50:00Z,11893.5,CARD,CAPTURED
PAY0070,ORD0070,2026-01-11T03:35:00Z,6911.32,NETBANKING,CAPTURED
PAY0071,ORD0071,2026-01-14T08:08:00Z,10053.34,NETBANKING,CAPTURED
PAY0072,ORD0072,2026-01-12T02:44:00Z,1854.11,UPI,CAPTURED
PAY0073,ORD0073,2026-01-03T12:33:00Z,2636.63,NETBANKING,CAPTURED
PAY0074,ORD0074,2026-01-27T14:52:00Z,7103.53,CARD,CAPTURED
PAY0075,ORD0075,2026-01-01T16:19:00Z,4037.77,CARD,CAPTURED
PAY0076,ORD0076,2026-01-24T23:53:00Z,3050.36,NETBANKING,CAPTURED
PAY0077,ORD0077,2026-01-06T22:42:00Z,13803.32,CARD,CAPTURED
PAY0078,ORD0078,2026-01-28T12:30:00Z,14824.44,NETBANKING,CAPTURED
PAY0079,ORD0079,2026-01-26T08:34:00Z,6687.74,NETBANKING,CAPTURED
PAY0080,ORD0080,2026-01-12T16:18:00Z,7026.01,CARD,CAPTURED
PAY0081,ORD0081,2026-01-12T07:25:00Z,7526.66,UPI,CAPTURED
PAY0082,ORD0082,2026-01-16T16:57:00Z,3900.16,UPI,CAPTURED
PAY0083,ORD0083,2026-01-18T20:35:00Z,2687.04,NETBANKING,CAPTURED
PAY0084,ORD0084,2026-01-19T23:19:00Z,1431.32,CARD,CAPTURED
PAY0085,ORD0085,2026-01-20T13:02:00Z,1402.85,NETBANKING,CAPTURED
PAY0086,ORD0086,2026-01-27T14:56:00Z,12922.61,UPI,CAPTURED
