settlement_id,payment_id,settlement_date,gross_amount,fee,net_amount,status
SET0001,PAY0001,2026-01-29T05:46:00Z,13740.47,274.81,13465.66,SETTLED
SET0002,PAY0002,2026-01-24T07:15:00Z,6236.66,124.73,6111.93,SETTLED
SET0003,PAY0003,2026-01-27T22:48:00Z,11302.34,226.05,11076.29,SETTLED
SET0004,PAY0004,2026-01-09T17:15:00Z,5748.95,114.98,5633.97,SETTLED
SET0005,PAY0005,2026-01-10T09:08:00Z,12985.99,259.72,12726.27,SETTLED
SET0006,PAY0006,2026-01-20T22:24:00Z,9147.93,182.96,8964.97,SETTLED
SET0007,PAY0007,2026-01-28T14:31:00Z,4045.5,82.91,3962.59,SETTLED
SET0008,PAY0008,2026-01-27T20:44:00Z,10384.8,207.7,10177.1,SETTLED
SET0009,PAY0009,2026-01-20T04:56:00Z,2117.51,42.35,2075.16,SETTLED
SET0010,PAY0010,2026-01-11T13:18:00Z,14592.38,291.85,14300.53,SETTLED
SET0011,PAY0011,2026-01-26T12:41:00Z,12704.21,254.08,12450.13,SETTLED
SET0012,PAY0012,2026-01-27T23:22:00Z,11556.41,231.13,11325.28,SETTLED
SET0013,PAY0013,2026-01-08T12:27:00Z,7584.78,151.7,7433.08,SETTLED
SET0014,PAY0014,2026-01-29T05:45:00Z,1339.91,26.8,1313.11,SETTLED
SET0015,PAY0015,2026-01-27T16:05:00Z,12332.34,246.65,12085.69,SETTLED
SET0016,PAY0016,2026-01-10T22:27:00Z,14229.31,284.59,13944.72,SETTLED
SET0017,PAY0017,2026-01-27T23:17:00Z,14483.26,289.67,14193.59,SETTLED
SET0018,PAY0018,2026-01-20T10:01:00Z,6285.39,125.71,6159.68,SETTLED
SET0019,PAY0019,2026-01-06T08:03:00Z,4094.63,81.89,4012.74,SETTLED
SET0020,PAY0020,2026-01-03T17:54:00Z,9032.38,180.65,8851.73,SETTLED
SET0021,PAY0021,2026-01-04T20:33:00Z,1477.3,29.55,1447.75,SETTLED
SET0022,PAY0022,2026-01-25T12:17:00Z,3951.07,79.02,3872.05,SETTLED
SET0023,PAY0023,2026-01-24T22:50:00Z,4023.46,80.47,3942.99,SETTLED
SET0024,PAY0024,2026-01-23T00:56:00Z,1905.5,38.11,1867.39,SETTLED
SET0025,PAY0025,2026-01-05T21:22:00Z,13025.63,260.51,12765.12,SETTLED
SET0026,PAY0026,2026-01-18T20:50:00Z,1378.88,27.58,1351.3,SETTLED
SET0027,PAY0027,2026-01-23T20:04:00Z,3258.03,65.16,3192.87,SETTLED
SET0028,PAY0028,2026-01-06T20:29:00Z,7208.11,144.16,7063.95,SETTLED
SET0029,PAY0029,2026-01-28T00:42:00Z,9956.1,199.12,9756.98,SETTLED
